dTime,id,energy_power
20210515-00:00,1001,8.837693423560175
20210515-00:00,1002,12.316495722415588
20210515-00:00,1003,-19.473409678988304
20210515-00:00,2000,1.6807764483355314
20210515-00:00,2001,0.6423728412902066
20210515-01:00,1001,8.476749893194699
20210515-01:00,1002,12.638067263922082
20210515-01:00,1003,-18.516718885516184
20210515-01:00,2000,2.5980953318379787
20210515-01:00,2001,0.6423728412902066
20210515-02:00,1001,8.523475894307863
20210515-02:00,1002,12.430750007662342
20210515-02:00,1003,-18.415412554040067
20210515-02:00,2000,2.5388116386584394
20210515-02:00,2001,0.6423728412902066
20210515-03:00,1001,8.807892824731251
20210515-03:00,1002,12.504850819974031
20210515-03:00,1003,-18.817631269819397
20210515-03:00,2000,2.495111446052298
20210515-03:00,2001,0.6423728412902066
20210515-04:00,1001,9.181634159646505
20210515-04:00,1002,12.282297057818187
20210515-04:00,1003,-19.802729089910667
20210515-04:00,2000,1.6612018174013832
20210515-04:00,2001,0.6423728412902066
20210515-05:00,1001,9.662544833814112
20210515-05:00,1002,11.891881354597404
20210515-05:00,1003,-20.845585288129485
20210515-05:00,2000,0.7088408423531731
20210515-05:00,2001,0.6423728412902066
20210515-06:00,1001,9.160336255842235
20210515-06:00,1002,12.308126387740264
20210515-06:00,1003,-19.347662947072635
20210515-06:00,2000,2.1207996346037605
20210515-06:00,2001,0.6423728412902066
20210515-07:00,1001,8.409829021018702
20210515-07:00,1002,12.643741701246755
20210515-07:00,1003,-17.902789019190788
20210515-07:00,2000,3.150781679628617
20210515-07:00,2001,0.6423728412902066
20210515-08:00,1001,7.663347892870975
20210515-08:00,1002,12.694467940883122
20210515-08:00,1003,-16.97228611037701
20210515-08:00,2000,3.3855297200984453
20210515-08:00,2001,0.6423728412902066
20210515-09:00,1001,9.056378357132637
20210515-09:00,1002,11.764244024545455
20210515-09:00,1003,-20.18727134604689
20210515-09:00,2000,0.6333510356212316
20210515-09:00,2001,0.6423728412902066
20210515-10:00,1001,9.047619940679882
20210515-10:00,1002,12.623463006831171
20210515-10:00,1003,-18.59589707259853
20210515-10:00,2000,3.0751858749016265
20210515-10:00,2001,0.6423728412902066
20210515-11:00,1001,8.92893438988385
20210515-11:00,1002,12.62545396166234
20210515-11:00,1003,-18.312639427631957
20210515-11:00,2000,3.2417489216994895
20210515-11:00,2001,0.6423728412902066
20210515-12:00,1001,8.541844627957284
20210515-12:00,1002,12.80791012849351
20210515-12:00,1003,-17.650693427597684
20210515-12:00,2000,3.6990613045431395
20210515-12:00,2001,0.6423728412902066
20210515-13:00,1001,8.055510076242998
20210515-13:00,1002,13.020911940701303
20210515-13:00,1003,-16.68299298426435
20210515-13:00,2000,4.39342890799308
20210515-13:00,2001,0.6423728412902066
20210515-14:00,1001,7.534300082842997
20210515-14:00,1002,13.308637912727278
20210515-14:00,1003,-15.035738233359588
20210515-14:00,2000,5.8071992754968935
20210515-14:00,2001,0.6423728412902066
20210515-15:00,1001,7.349743573687154
20210515-15:00,1002,13.356291793896109
20210515-15:00,1003,-14.435286908576035
20210515-15:00,2000,6.270747216843639
20210515-15:00,2001,0.6423728412902066
20210515-16:00,1001,6.788586717172868
20210515-16:00,1002,13.51317915301299
20210515-16:00,1003,-13.442882623909371
20210515-16:00,2000,2.5393289039312776
20210515-16:00,2001,0.6423728412902066
20210515-17:00,1001,5.954183549024816
20210515-17:00,1002,14.08292745662338
20210515-17:00,1003,-11.266496391281663
20210515-17:00,2000,0.0
20210515-17:00,2001,0.6423728412902066
20210515-18:00,1001,5.953175011263777
20210515-18:00,1002,14.04536609262338
20210515-18:00,1003,-11.429101209298985
20210515-18:00,2000,0.0
20210515-18:00,2001,0.6423728412902066
20210515-19:00,1001,6.321060420276765
20210515-19:00,1002,14.003976181194808
20210515-19:00,1003,-12.035100700511103
20210515-19:00,2000,0.0
20210515-19:00,2001,0.6423728412902066
20210515-20:00,1001,6.01658672093131
20210515-20:00,1002,14.365253138493513
20210515-20:00,1003,-10.39907310636392
20210515-20:00,2000,0.0
20210515-20:00,2001,0.6423728412902066
20210515-21:00,1001,5.490454734739103
20210515-21:00,1002,14.633321469610392
20210515-21:00,1003,-9.336472176995953
20210515-21:00,2000,0.0
20210515-21:00,2001,0.6423728412902066
20210515-22:00,1001,5.186048178020187
20210515-22:00,1002,14.874608563766238
20210515-22:00,1003,-8.027935603098948
20210515-22:00,2000,0.0
20210515-22:00,2001,0.6423728412902066
20210515-23:00,1001,4.952770051156822
20210515-23:00,1002,14.906056177272731
20210515-23:00,1003,-7.597979774197194
20210515-23:00,2000,0.0
20210515-23:00,2001,0.6423728412902066
20210516-00:00,1001,5.093907280196963
20210516-00:00,1002,14.785384590701302
20210516-00:00,1003,-8.02256627655925
20210516-00:00,2000,0.0
20210516-00:00,2001,0.6423728412902066
20210516-01:00,1001,5.0131262455234245
20210516-01:00,1002,14.874608054649354
20210516-01:00,1003,-7.922581660039933
20210516-01:00,2000,0.0
20210516-01:00,2001,0.6423728412902066
20210516-02:00,1001,5.170574652691839
20210516-02:00,1002,14.616788656675327
20210516-02:00,1003,-8.008856419602363
20210516-02:00,2000,0.0
20210516-02:00,2001,0.6423728412902066
20210516-03:00,1001,4.817109999871828
20210516-03:00,1002,15.140398493506495
20210516-03:00,1003,-6.864545752203807
20210516-03:00,2000,0.0
20210516-03:00,2001,0.6423728412902066
20210516-04:00,1001,5.089741999093941
20210516-04:00,1002,15.066227536285716
20210516-04:00,1003,-7.119505452488398
20210516-04:00,2000,0.0
20210516-04:00,2001,0.6423728412902066
